dataset, coarsening_ratio, coarsen_features, coarsen_train_labels, coarsen_train_mask, coarsen_val_labels, coarsen_val_mask, coarsen_edge, data_x, data_y, data_edge_index, total_size, acc_10, acc_9, acc_8, acc_7, acc_6, acc_5, acc_4, acc_3, acc_2, acc_1, avg_acc, std_acc 
cora,0.0,13183600,9200,9200,9200,9200,38400,310445120,216640,1688960,325609520,0.165,0.206,0.237,0.239,0.251,0.257,0.257,0.285,0.293,0.304,0.24939999999999998,0.03941624030777161
cora,0.1,41270400,28800,28800,28800,28800,342400,310445120,216640,1688960,354078720,0.721,0.722,0.723,0.725,0.726,0.736,0.741,0.754,0.754,0.776,0.7378,0.017468829382646125
cora,0.3,98934320,69040,69040,69040,69040,707520,310445120,216640,1688960,412268720,0.808,0.809,0.814,0.817,0.818,0.819,0.819,0.819,0.819,0.82,0.8161999999999999,0.004166533331199895
cora,0.5,156368960,109120,109120,109120,109120,967680,310445120,216640,1688960,470123840,0.814,0.818,0.819,0.823,0.824,0.826,0.829,0.831,0.832,0.834,0.825,0.006276941930590092
cora,0.7,214147520,149440,149440,149440,149440,1251200,310445120,216640,1688960,528347200,0.812,0.816,0.819,0.82,0.823,0.825,0.827,0.828,0.831,0.832,0.8233,0.006197580172938452
citeseer,0.0,167079360,45120,45120,45120,45120,146240,985590480,266160,1456640,1154719360,0.394,0.402,0.42,0.42,0.427,0.428,0.439,0.444,0.448,0.478,0.43,0.022799122790142602
citeseer,0.1,229882240,62080,62080,62080,62080,315840,985590480,266160,1456640,1217759680,0.694,0.7,0.702,0.703,0.704,0.704,0.71,0.71,0.711,0.713,0.7051,0.005575840743780265
citeseer,0.3,359042880,96960,96960,96960,96960,562560,985590480,266160,1456640,1347306560,0.708,0.711,0.712,0.713,0.714,0.715,0.719,0.721,0.721,0.722,0.7156,0.004608687448721169
citeseer,0.5,488499760,131920,131920,131920,131920,756480,985590480,266160,1456640,1477097200,0.696,0.704,0.704,0.711,0.712,0.713,0.714,0.715,0.72,0.721,0.711,0.0073075303625780505
citeseer,0.7,621215280,167760,167760,167760,167760,974720,985590480,266160,1456640,1610174320,0.698,0.705,0.709,0.71,0.713,0.713,0.713,0.718,0.719,0.719,0.7117,0.0062777384462878085
pubmed,0.0,800000,1600,1600,1600,1600,13440,788680000,1577360,14183680,805260880,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.0
pubmed,0.1,78880000,157760,157760,157760,157760,4883840,788680000,1577360,14183680,888835920,0.748,0.749,0.75,0.751,0.751,0.755,0.756,0.758,0.76,0.761,0.7539,0.004482186966202998
pubmed,0.3,236680000,473360,473360,473360,473360,7689920,788680000,1577360,14183680,1050704400,0.772,0.775,0.777,0.778,0.781,0.781,0.781,0.784,0.784,0.787,0.7799999999999999,0.004312771730569569
pubmed,0.5,394360000,788720,788720,788720,788720,9116160,788680000,1577360,14183680,1211072080,0.774,0.778,0.779,0.78,0.781,0.781,0.782,0.782,0.783,0.787,0.7807000000000001,0.0032264531609803382
pubmed,0.7,552080000,1104160,1104160,1104160,1104160,10739840,788680000,1577360,14183680,1371677520,0.768,0.774,0.778,0.779,0.782,0.785,0.786,0.786,0.787,0.787,0.7812,0.006079473661428271
